id,string_kr,problem,correct_answer,hidden_answer,mode,
101,"정신을 잃은 사이, 나의 모든 것이 사라졌다.",,,,normal,
,"그녀, 그리고 추억이 담긴 집 모두.",,,,normal,
,이미 늦었다는 것을 알고 스스로를 속여도 봤지만,,,,normal,
,로벨리아는 잭 더 리퍼에게 살해당했다.,!person는 !person에게 !destination당했다.,"리퍼, 무언가, 무언가","무언가, 리퍼, 무언가",normal,
,잭 더 리퍼(Jack The Ripper),,,,normal,
,그 이름을 기억하겠다.,,,,normal,
,히든 문장 테스트 csv,,,,hidden,
,이후 문제 테스트트,!person는 !person에게 !destination당했다.,"리퍼, 무언가, 무언가",,hidden,
,추가 선택지 이후 히든 문장 테스트 csv,,,,hidden,
,추가 선택지 이후 히든 문장 테스트 csv,,,,hidden,
201,늘 있는 역겨운 일상이다.,,,,,
,"한 밤의 좀도둑은 신문을 파는 어린아이였고, 신경 쓸 필요 없어보인다.",!person은 !object를 파는 !person였다.,"좀도둑, 신문, 어린아이",,,
,하지만 계속 긴장은 늦추지 말아야한다.,,,,,
,아직까지 잭 더 리퍼의 실마리는 없지만,,,,,
,가져온 장부는 분명 도움이 되겠지.,,,,,
,조지는 로벨리아가 죽은 것을 어떻게 알았지?,!person은(는) !person의 !destination을 알고 있었다.,"조지, 로벨리아, 사망",,,
,설리번은 잭 더 리퍼의 존재를 어떻게 알았지?,!person은(는) !person의 !destination를 알고 있었다.,"설리번, 잭 더 리퍼, 존재",,,
